ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications
868,\Device\HarddiskVolume3\Windows\System32\services.exe,29,258,0,1,1746196454,1746196484,30,1746196454,165,0,0,0,165,165,0,0,0,0,0,0,12,0,0,1,2036,4294958424,206,0,0,0,0,0,9,0,0,0
1664,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,31,290,0,1,1746196454,1746196485,31,1746196454,4893,0,0,0,4893,4893,0,0,446,0,0,0,0,0,0,0,0,0,9290,0,0,0,0,0,12,0,0,0
4828,\Device\HarddiskVolume3\Windows\explorer.exe,30,250,0,1,1746196454,1746196485,30,1746196454,3156,72,33,0,3051,3108,0,0,1500,0,0,0,0,0,0,0,0,0,6200,0,0,0,0,2,13,173,0,0
888,\Device\HarddiskVolume3\Windows\System32\lsass.exe,0,255,0,1,1746196454,1746196484,30,1746196454,14,0,0,0,14,14,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
1524,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1746196454,1746196484,30,1746196454,21,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
3440,\Device\HarddiskVolume3\Users\wineleven\Desktop\NativeExamples.exe,0,316,0,1,1746196455,1746196455,0,1746196455,639,2,0,0,637,639,0,0,509,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0
3120,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196455,1746196460,5,1746196455,2068,639,0,0,1429,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,6,0,0,0
2252,\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.11141.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,0,323,0,1,1746196456,1746196482,26,1746196456,32,0,0,0,32,32,0,0,0,0,0,0,0,0,0,1,33640,0,0,0,0,0,0,0,9,0,0,0
2476,\Device\HarddiskVolume3\Windows\System32\ctfmon.exe,26,290,0,1,1746196456,1746196482,26,1746196456,7508,10,10,0,7488,7508,0,0,0,0,0,0,0,0,0,0,0,0,17307,0,0,0,0,0,9,474,0,0
3216,\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,311,0,1,1746196456,1746196456,0,1746196456,46,0,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
724,\Device\HarddiskVolume3\Windows\System32\csrss.exe,29,255,0,1,1746196456,1746196485,29,1746196456,536,0,0,0,536,536,0,0,0,0,0,0,0,0,0,0,0,0,1034,0,0,0,0,0,11,0,0,0
5436,\Device\HarddiskVolume3\Program Files\Mozilla Firefox\firefox.exe,0,254,0,1,1746196456,1746196461,5,1746196456,67,1,3,0,63,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,256,0,0
3020,\Device\HarddiskVolume3\Program Files\Mozilla Firefox\firefox.exe,24,254,0,1,1746196456,1746196480,24,1746196456,10518,87,52,1,10378,10502,0,0,2356,0,0,316,2,0,20,0,0,0,26250,0,0,0,0,1,15,239,0,0
3764,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,24,276,0,1,1746196456,1746196480,24,1746196456,151,0,0,0,151,151,0,0,0,0,0,0,0,0,0,1,1152,4294952200,250,0,0,0,0,0,12,0,0,0
4,,0,0,0,1,1746196456,1746196461,5,1746196456,20,5,10,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,177,0,0
1020,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196456,1746196462,5,1746196456,41,0,0,0,41,41,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
2272,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196456,1746196481,24,1746196456,77,6,2,0,69,77,0,0,0,0,0,0,0,0,0,1,1384,4294943421,0,0,0,0,0,0,7,125,0,0
2024,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196457,1746196458,0,1746196457,57,4,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
636,\Device\HarddiskVolume3\Windows\System32\svchost.exe,21,281,0,1,1746196461,1746196482,21,1746196461,626,0,0,0,626,626,0,0,426,0,0,0,0,0,12,0,0,0,1714,0,0,0,0,0,12,0,0,0
2080,\Device\HarddiskVolume3\Windows\System32\svchost.exe,17,281,0,1,1746196461,1746196478,17,1746196461,539,4,0,0,535,537,0,0,0,0,0,0,0,0,0,0,0,0,1764,0,0,0,0,0,9,0,0,0
1884,\Device\HarddiskVolume3\Program Files\Mozilla Firefox\firefox.exe,8,254,0,1,1746196462,1746196480,18,1746196462,1416,4,1,0,1411,1412,0,0,249,0,0,0,0,0,6,1,59,4294956974,10500,0,0,0,0,0,10,250,0,0
